"Month","WeekOfMonth","DayOfWeek","Make","AccidentArea","DayOfWeekClaimed","MonthClaimed","WeekOfMonthClaimed","Sex","MaritalStatus","Age","Fault","PolicyType","VehicleCategory","VehiclePrice","FraudFound_P","PolicyNumber","RepNumber","Deductible","DriverRating","Days_Policy_Accident","Days_Policy_Claim","PastNumberOfClaims","AgeOfVehicle","AgeOfPolicyHolder","PoliceReportFiled","WitnessPresent","AgentType","NumberOfSuppliments","AddressChange_Claim","NumberOfCars","Year","BasePolicy","ClaimSize"
"Jul","3","Tuesday","Pontiac","Urban","Thursday","Jul","3","Male","Married","33","Third Party","Sedan - Liability","Sport","20000 to 29000","0","10686","10","400","4","more than 30","more than 30","2 to 4","7 years","31 to 35","No","No","External","none","no change","1 vehicle","1995","Liability","4539.7134339129"
"Sep","2","Monday","Mazda","Urban","Monday","Sep","2","Male","Single","44","Policy Holder","Sedan - Liability","Sport","20000 to 29000","0","10687","15","400","3","more than 30","more than 30","none","7 years","36 to 40","No","No","External","3 to 5","no change","1 vehicle","1995","Liability","6474.5777684368"
"Nov","1","Friday","Honda","Urban","Monday","Nov","1","Male","Single","21","Policy Holder","Sedan - Liability","Sport","20000 to 29000","0","10688","3","400","1","more than 30","more than 30","2 to 4","5 years","26 to 30","No","No","External","more than 5","no change","1 vehicle","1995","Liability","9064.5249894824"
"Nov","2","Thursday","Toyota","Urban","Thursday","Nov","2","Female","Single","39","Policy Holder","Sedan - All Perils","Sedan","20000 to 29000","0","10689","4","400","3","more than 30","more than 30","1","6 years","36 to 40","No","No","External","3 to 5","no change","1 vehicle","1995","All Perils","5854.6299328984"
"Nov","3","Saturday","Pontiac","Rural","Monday","Dec","1","Male","Married","36","Policy Holder","Sedan - Collision","Sedan","20000 to 29000","0","10690","5","400","1","more than 30","more than 30","none","7 years","36 to 40","No","No","External","none","4 to 8 years","2 vehicles","1995","Collision","4904.7032980866"
"Nov","1","Thursday","Chevrolet","Rural","Monday","Nov","1","Male","Married","41","Policy Holder","Sedan - All Perils","Sedan","more than 69000","0","10693","7","400","1","more than 30","more than 30","2 to 4","7 years","36 to 40","No","No","External","3 to 5","no change","1 vehicle","1995","All Perils","98545.374338552"
"Mar","2","Thursday","Mazda","Urban","Thursday","Mar","2","Male","Married","44","Third Party","Sport - Collision","Sport","more than 69000","0","10694","4","400","3","more than 30","more than 30","none","7 years","36 to 40","No","No","External","more than 5","no change","1 vehicle","1995","Collision","62863.490761382"
"Aug","2","Friday","Pontiac","Urban","Wednesday","Aug","5","Female","Single","33","Policy Holder","Sedan - Collision","Sedan","30000 to 39000","0","10695","2","400","2","more than 30","more than 30","1","7 years","31 to 35","No","No","External","1 to 2","no change","1 vehicle","1995","Collision","57166.760953688"
"Aug","1","Tuesday","Pontiac","Urban","Wednesday","Aug","1","Male","Married","26","Policy Holder","Sedan - Liability","Sport","30000 to 39000","0","10696","13","700","4","more than 30","more than 30","more than 4","7 years","31 to 35","No","No","External","1 to 2","no change","1 vehicle","1995","Liability","14864.114480294"
"Mar","2","Thursday","Chevrolet","Rural","Thursday","Mar","2","Male","Married","26","Third Party","Sedan - Collision","Sedan","20000 to 29000","0","10698","7","400","1","more than 30","more than 30","none","7 years","31 to 35","No","No","External","more than 5","no change","1 vehicle","1995","Collision","1704.6451257643"
"Mar","2","Thursday","Pontiac","Urban","Tuesday","Mar","5","Female","Married","36","Policy Holder","Sedan - Collision","Sedan","30000 to 39000","1","10699","10","400","4","more than 30","more than 30","2 to 4","6 years","36 to 40","No","No","Internal","1 to 2","no change","1 vehicle","1995","Collision","14956.116911751"
"Jul","3","Monday","Honda","Urban","Thursday","Jul","3","Female","Married","33","Policy Holder","Sedan - Liability","Sport","20000 to 29000","0","10700","9","400","3","more than 30","more than 30","2 to 4","6 years","31 to 35","No","No","External","none","no change","1 vehicle","1995","Liability","3785.1212856062"
"Jul","2","Wednesday","Honda","Urban","Wednesday","Jul","2","Male","Married","34","Policy Holder","Sedan - Liability","Sport","20000 to 29000","0","10701","16","400","3","more than 30","more than 30","more than 4","6 years","31 to 35","No","No","External","3 to 5","no change","1 vehicle","1995","Liability","27511.868963683"
"Jul","1","Monday","Dodge","Urban","Tuesday","Sep","2","Male","Married","31","Policy Holder","Sedan - Liability","Sport","30000 to 39000","0","10702","8","400","1","more than 30","more than 30","more than 4","7 years","31 to 35","No","No","External","1 to 2","no change","3 to 4","1995","Liability","54340.812032397"
"Mar","2","Friday","Toyota","Urban","Monday","Mar","2","Male","Married","39","Policy Holder","Sedan - Collision","Sedan","20000 to 29000","1","10703","15","400","3","more than 30","more than 30","none","7 years","36 to 40","No","No","External","none","no change","1 vehicle","1995","Collision","3081.9107098879"
"Jun","4","Monday","Toyota","Urban","Monday","Jun","4","Male","Married","77","Policy Holder","Sedan - Collision","Sedan","20000 to 29000","0","10706","6","400","4","more than 30","more than 30","2 to 4","more than 7","over 65","No","No","External","none","no change","1 vehicle","1995","Collision","6305.4584435049"
"Jun","3","Saturday","Honda","Urban","Tuesday","Jun","3","Male","Married","31","Third Party","Sedan - All Perils","Sedan","20000 to 29000","0","10708","4","400","2","more than 30","more than 30","2 to 4","7 years","31 to 35","No","No","External","more than 5","no change","1 vehicle","1995","All Perils","7123.1543763204"
"Mar","2","Friday","Honda","Urban","Monday","Mar","2","Female","Married","41","Third Party","Sedan - All Perils","Sedan","less than 20000","0","10710","13","400","3","more than 30","more than 30","none","7 years","36 to 40","Yes","No","External","none","no change","1 vehicle","1995","All Perils","8203.3885879412"
"May","5","Wednesday","Pontiac","Urban","Friday","Jun","1","Female","Single","31","Third Party","Sedan - Collision","Sedan","20000 to 29000","1","10711","7","500","4","more than 30","more than 30","none","6 years","31 to 35","No","No","External","none","2 to 3 years","2 vehicles","1995","Collision","5594.2800509483"
"May","2","Saturday","Pontiac","Urban","Monday","May","3","Male","Married","44","Policy Holder","Sedan - All Perils","Sedan","40000 to 59000","0","10712","16","400","2","more than 30","more than 30","more than 4","more than 7","36 to 40","No","No","External","3 to 5","no change","1 vehicle","1995","All Perils","79469.220032727"
"Apr","2","Wednesday","Pontiac","Urban","Wednesday","Apr","2","Male","Married","30","Policy Holder","Sedan - Collision","Sedan","20000 to 29000","0","10715","16","400","4","more than 30","more than 30","more than 4","6 years","31 to 35","Yes","No","External","none","no change","1 vehicle","1995","Collision","13520.036231479"
"Apr","2","Tuesday","Mazda","Urban","Tuesday","Apr","3","Male","Married","50","Policy Holder","Sedan - Liability","Sport","30000 to 39000","0","10716","10","400","1","more than 30","more than 30","2 to 4","6 years","41 to 50","No","No","External","none","no change","1 vehicle","1995","Liability","60942.271246091"
"Mar","5","Friday","Pontiac","Urban","Thursday","Apr","1","Male","Married","38","Third Party","Sedan - Collision","Sedan","30000 to 39000","0","10718","10","400","1","more than 30","more than 30","1","more than 7","36 to 40","No","No","External","more than 5","no change","1 vehicle","1995","Collision","84229.617966422"
"Mar","3","Monday","Honda","Urban","Wednesday","Apr","2","Male","Married","37","Policy Holder","Sedan - Liability","Sport","30000 to 39000","0","10720","12","400","3","more than 30","more than 30","1","more than 7","36 to 40","No","No","External","more than 5","no change","1 vehicle","1995","Liability","14092.344451433"
"Mar","3","Saturday","Accura","Urban","Monday","Mar","3","Male","Single","35","Policy Holder","Sedan - Collision","Sedan","30000 to 39000","0","10721","10","400","4","more than 30","more than 30","2 to 4","6 years","31 to 35","Yes","No","External","3 to 5","no change","1 vehicle","1995","Collision","13197.953232038"
"Mar","3","Monday","Pontiac","Urban","Tuesday","Mar","4","Female","Single","43","Policy Holder","Sedan - Liability","Sport","30000 to 39000","0","10722","13","400","4","more than 30","more than 30","2 to 4","6 years","36 to 40","No","No","External","none","no change","1 vehicle","1995","Liability","39579.768562117"
"Mar","2","Saturday","Toyota","Urban","Tuesday","Mar","3","Male","Married","37","Third Party","Sedan - Collision","Sedan","20000 to 29000","0","10723","5","400","2","15 to 30","more than 30","none","7 years","36 to 40","No","No","External","none","no change","1 vehicle","1995","Collision","2669.4046317361"
"Mar","2","Sunday","Toyota","Urban","Monday","Mar","3","Male","Married","54","Policy Holder","Sedan - Collision","Sedan","30000 to 39000","0","10724","3","400","2","more than 30","more than 30","more than 4","7 years","41 to 50","No","No","External","3 to 5","no change","1 vehicle","1995","Collision","56661.370982136"
"Mar","2","Friday","Honda","Urban","Sunday","Mar","2","Male","Married","65","Third Party","Sedan - All Perils","Sedan","20000 to 29000","0","10728","14","400","3","more than 30","more than 30","none","7 years","51 to 65","No","No","External","none","no change","1 vehicle","1995","All Perils","4215.6801129567"
"Feb","3","Sunday","Pontiac","Rural","Monday","Feb","3","Male","Married","33","Third Party","Sedan - Collision","Sedan","30000 to 39000","0","10729","11","400","1","more than 30","more than 30","1","7 years","31 to 35","No","No","External","more than 5","no change","1 vehicle","1995","Collision","51406.000740418"
"Feb","1","Friday","Toyota","Urban","Monday","Feb","3","Female","Single","34","Policy Holder","Sedan - Liability","Sport","less than 20000","0","10731","2","400","2","more than 30","more than 30","more than 4","5 years","31 to 35","No","No","External","none","no change","1 vehicle","1995","Liability","13454.983813688"
"Mar","2","Saturday","Pontiac","Urban","Monday","Mar","4","Male","Single","26","Policy Holder","Sedan - Collision","Sedan","20000 to 29000","1","10733","6","400","2","more than 30","more than 30","2 to 4","6 years","31 to 35","Yes","No","External","1 to 2","no change","1 vehicle","1995","Collision","9588.196554202"
"Oct","5","Saturday","Chevrolet","Urban","Wednesday","Nov","1","Female","Married","53","Third Party","Sedan - Liability","Sport","20000 to 29000","0","10734","7","400","4","more than 30","more than 30","more than 4","more than 7","41 to 50","No","No","External","none","no change","1 vehicle","1995","Liability","44465.644339403"
"Oct","5","Saturday","Mazda","Urban","Monday","Oct","5","Male","Married","62","Policy Holder","Sedan - Liability","Sport","20000 to 29000","0","10735","13","400","3","more than 30","more than 30","none","more than 7","51 to 65","No","No","External","more than 5","no change","1 vehicle","1995","Liability","1429.2287153369"
"Oct","4","Friday","Toyota","Urban","Tuesday","Oct","4","Male","Married","66","Policy Holder","Sedan - Collision","Sedan","30000 to 39000","0","10737","14","400","2","more than 30","more than 30","more than 4","more than 7","over 65","No","No","External","more than 5","no change","1 vehicle","1995","Collision","52494.337421917"
"Oct","4","Saturday","Pontiac","Urban","Monday","Oct","4","Male","Married","31","Third Party","Sedan - Collision","Sedan","20000 to 29000","0","10738","6","400","1","more than 30","more than 30","1","5 years","31 to 35","No","No","External","none","no change","1 vehicle","1995","Collision","5584.2803166207"
"Oct","2","Thursday","Chevrolet","Urban","Thursday","Oct","2","Male","Married","65","Policy Holder","Sedan - Liability","Sport","20000 to 29000","0","10739","16","400","2","more than 30","more than 30","more than 4","more than 7","51 to 65","No","No","External","3 to 5","1 year","1 vehicle","1995","Liability","12468.207103416"
"Oct","2","Wednesday","Mercury","Urban","Friday","Oct","3","Male","Single","31","Policy Holder","Sedan - Liability","Sport","20000 to 29000","0","10740","8","400","4","more than 30","more than 30","2 to 4","7 years","31 to 35","No","No","External","none","no change","1 vehicle","1995","Liability","9441.602992761"
"Oct","1","Monday","Mazda","Urban","Wednesday","Oct","1","Male","Married","33","Policy Holder","Sedan - Collision","Sedan","20000 to 29000","0","10741","13","400","4","more than 30","more than 30","2 to 4","7 years","31 to 35","No","No","External","1 to 2","no change","1 vehicle","1995","Collision","6743.7815660318"
"Sep","3","Saturday","Toyota","Urban","Friday","Oct","3","Male","Married","27","Third Party","Sedan - Collision","Sedan","20000 to 29000","0","10743","11","400","1","more than 30","more than 30","none","6 years","31 to 35","No","No","External","none","no change","3 to 4","1995","Collision","7506.6348057201"
"Sep","2","Tuesday","Toyota","Rural","Tuesday","Sep","2","Male","Married","36","Policy Holder","Sedan - Collision","Sedan","20000 to 29000","0","10744","1","400","4","more than 30","more than 30","none","7 years","36 to 40","No","No","External","1 to 2","no change","1 vehicle","1995","Collision","3762.1332603954"
"Sep","2","Friday","Accura","Urban","Tuesday","Sep","2","Male","Single","29","Policy Holder","Utility - All Perils","Utility","more than 69000","0","10745","12","400","4","more than 30","more than 30","none","6 years","31 to 35","No","No","External","none","no change","1 vehicle","1995","All Perils","79417.328821774"
"Sep","1","Thursday","Pontiac","Urban","Wednesday","Sep","2","Male","Married","65","Third Party","Sedan - Collision","Sedan","20000 to 29000","0","10746","10","400","3","more than 30","more than 30","none","more than 7","51 to 65","No","No","External","none","no change","1 vehicle","1995","Collision","3139.6510248389"
"Mar","2","Saturday","Chevrolet","Urban","Thursday","Mar","3","Male","Single","42","Third Party","Sedan - Collision","Sedan","more than 69000","0","10747","11","400","3","more than 30","more than 30","none","7 years","36 to 40","No","No","External","none","no change","1 vehicle","1995","Collision","65937.521016438"
"Jul","2","Friday","Toyota","Urban","Monday","Aug","4","Male","Married","29","Policy Holder","Sedan - All Perils","Sedan","20000 to 29000","0","10748","1","400","3","more than 30","more than 30","2 to 4","6 years","31 to 35","No","No","External","none","no change","1 vehicle","1995","All Perils","3497.3351296093"
"Mar","2","Saturday","Toyota","Urban","Tuesday","Mar","3","Male","Married","39","Policy Holder","Sedan - Collision","Sedan","20000 to 29000","1","10749","16","400","4","more than 30","more than 30","2 to 4","more than 7","36 to 40","No","No","External","none","no change","1 vehicle","1995","Collision","3654.5347345043"
"Jun","4","Tuesday","Toyota","Rural","Tuesday","Jul","1","Female","Married","43","Policy Holder","Sedan - All Perils","Sedan","less than 20000","0","10750","7","400","2","more than 30","more than 30","none","7 years","36 to 40","No","No","External","more than 5","no change","1 vehicle","1995","All Perils","9009.3264033762"
"Jun","3","Monday","Mazda","Urban","Wednesday","Jul","1","Male","Married","44","Policy Holder","Sedan - Liability","Sport","20000 to 29000","0","10751","1","400","4","more than 30","more than 30","2 to 4","more than 7","36 to 40","No","No","External","1 to 2","no change","1 vehicle","1995","Liability","9572.2885359275"
"Jun","3","Sunday","Mazda","Urban","Tuesday","Jun","4","Female","Single","30","Third Party","Sedan - Liability","Sport","20000 to 29000","0","10752","16","400","1","more than 30","more than 30","2 to 4","6 years","31 to 35","No","No","External","none","no change","1 vehicle","1995","Liability","5674.2739147258"
"Jun","3","Friday","Mazda","Urban","Friday","Jun","3","Male","Married","41","Policy Holder","Sedan - Liability","Sport","20000 to 29000","0","10754","8","400","4","more than 30","more than 30","none","7 years","36 to 40","No","No","External","3 to 5","no change","1 vehicle","1995","Liability","9774.2411819138"
"Jun","2","Monday","Pontiac","Urban","Tuesday","Jul","3","Male","Married","38","Policy Holder","Sedan - All Perils","Sedan","less than 20000","0","10755","2","400","2","more than 30","more than 30","none","more than 7","36 to 40","No","No","External","none","no change","1 vehicle","1995","All Perils","4441.3936952609"
"Jun","2","Wednesday","Toyota","Urban","Thursday","Jun","2","Male","Married","29","Third Party","Sedan - Liability","Sport","20000 to 29000","0","10756","4","400","4","more than 30","more than 30","2 to 4","6 years","31 to 35","No","No","External","none","no change","1 vehicle","1995","Liability","3155.4608687167"
"Jun","2","Wednesday","Pontiac","Urban","Tuesday","Jun","3","Female","Married","30","Policy Holder","Sedan - Collision","Sedan","20000 to 29000","0","10757","6","400","3","more than 30","more than 30","2 to 4","6 years","31 to 35","No","No","External","none","no change","1 vehicle","1995","Collision","5825.5310466192"
"May","2","Sunday","Toyota","Rural","Thursday","May","2","Male","Single","30","Policy Holder","Sedan - Liability","Sport","20000 to 29000","0","10760","14","400","4","more than 30","more than 30","none","6 years","31 to 35","No","No","External","1 to 2","no change","1 vehicle","1995","Liability","1482.6580782321"
"Apr","3","Friday","Pontiac","Urban","Friday","Apr","4","Male","Single","35","Third Party","Sedan - All Perils","Sedan","more than 69000","0","10761","6","400","2","more than 30","more than 30","1","7 years","31 to 35","No","No","External","more than 5","no change","1 vehicle","1995","All Perils","63535.610034682"
"Apr","2","Wednesday","Chevrolet","Urban","Thursday","Apr","3","Male","Married","60","Policy Holder","Sedan - Collision","Sedan","20000 to 29000","0","10762","14","500","3","more than 30","more than 30","none","7 years","51 to 65","No","No","External","none","2 to 3 years","1 vehicle","1995","Collision","1939.4111889466"
"Apr","2","Wednesday","Honda","Urban","Wednesday","Apr","3","Male","Single","0","Policy Holder","Sedan - Liability","Sport","more than 69000","0","10763","1","400","4","more than 30","more than 30","2 to 4","new","16 to 17","No","No","External","none","no change","1 vehicle","1995","Liability","63150.597838406"
"Apr","2","Saturday","Mazda","Urban","Monday","Apr","2","Male","Single","33","Policy Holder","Sedan - Collision","Sedan","20000 to 29000","0","10765","10","400","1","more than 30","more than 30","1","7 years","31 to 35","No","No","External","none","no change","1 vehicle","1995","Collision","3802.5889672742"
"Apr","2","Thursday","Toyota","Urban","Friday","Apr","2","Male","Married","28","Policy Holder","Sedan - Liability","Sport","20000 to 29000","0","10766","4","400","3","more than 30","more than 30","2 to 4","7 years","31 to 35","No","No","External","none","no change","1 vehicle","1995","Liability","3376.7890907722"
"Apr","1","Monday","Pontiac","Urban","Tuesday","Apr","1","Male","Married","51","Policy Holder","Sedan - Collision","Sedan","20000 to 29000","0","10767","1","400","4","more than 30","more than 30","none","more than 7","41 to 50","No","No","External","1 to 2","no change","1 vehicle","1995","Collision","4820.738729119"
"Apr","1","Friday","Pontiac","Urban","Thursday","Apr","2","Male","Single","45","Policy Holder","Sedan - Collision","Sedan","20000 to 29000","0","10769","7","400","4","more than 30","more than 30","none","6 years","36 to 40","No","No","External","none","no change","1 vehicle","1995","Collision","4179.2166283481"
"Mar","4","Saturday","Mazda","Urban","Wednesday","Apr","1","Female","Single","27","Policy Holder","Sedan - Liability","Sport","20000 to 29000","0","10770","3","400","2","8 to 15","more than 30","more than 4","6 years","31 to 35","No","No","External","none","no change","1 vehicle","1995","Liability","16876.126885182"
"Mar","4","Friday","Toyota","Urban","Monday","Mar","5","Female","Married","35","Policy Holder","Sedan - Liability","Sport","20000 to 29000","0","10771","4","400","4","more than 30","more than 30","2 to 4","4 years","31 to 35","No","No","External","none","no change","1 vehicle","1995","Liability","3835.6732109202"
"Mar","2","Sunday","Mazda","Urban","Wednesday","Mar","3","Male","Married","40","Policy Holder","Sedan - Collision","Sedan","more than 69000","1","10772","5","400","4","more than 30","more than 30","1","5 years","36 to 40","No","No","External","none","no change","1 vehicle","1995","Collision","50201.428448075"
"Mar","3","Sunday","Mazda","Urban","Monday","Mar","4","Male","Married","38","Policy Holder","Sedan - Collision","Sedan","30000 to 39000","0","10773","4","400","2","more than 30","more than 30","1","7 years","36 to 40","No","No","Internal","none","no change","1 vehicle","1995","Collision","55894.142838776"
"Mar","3","Thursday","Chevrolet","Rural","Tuesday","Mar","4","Male","Single","30","Policy Holder","Sedan - All Perils","Sedan","more than 69000","0","10774","4","400","4","more than 30","more than 30","1","6 years","31 to 35","No","No","External","none","4 to 8 years","2 vehicles","1995","All Perils","70113.642699625"
"Feb","5","Monday","Honda","Urban","Monday","Mar","2","Male","Married","34","Policy Holder","Sedan - Collision","Sedan","20000 to 29000","0","10776","12","400","2","more than 30","more than 30","1","7 years","31 to 35","No","No","External","none","no change","1 vehicle","1995","Collision","1747.6111298931"
"Feb","5","Monday","Pontiac","Urban","Monday","Mar","2","Male","Single","31","Policy Holder","Sedan - All Perils","Sedan","less than 20000","0","10777","5","400","3","more than 30","more than 30","2 to 4","6 years","31 to 35","No","No","External","none","no change","1 vehicle","1995","All Perils","9289.2604877349"
"Feb","3","Friday","Pontiac","Urban","Monday","Feb","4","Male","Married","43","Policy Holder","Sedan - Collision","Sedan","less than 20000","0","10778","13","400","2","more than 30","more than 30","none","7 years","36 to 40","No","No","External","1 to 2","no change","1 vehicle","1995","Collision","3490.4610473993"
"Feb","3","Saturday","Pontiac","Urban","Sunday","Feb","3","Male","Married","48","Third Party","Sedan - Liability","Sport","30000 to 39000","0","10779","15","400","3","more than 30","more than 30","1","more than 7","41 to 50","No","No","External","more than 5","no change","1 vehicle","1995","Liability","25903.147208806"
"Feb","2","Sunday","Toyota","Urban","Monday","Feb","3","Male","Married","64","Policy Holder","Sedan - Collision","Sedan","20000 to 29000","0","10780","15","400","4","more than 30","more than 30","none","more than 7","51 to 65","No","No","External","more than 5","no change","1 vehicle","1995","Collision","1141.3343860829"
"Feb","2","Thursday","Chevrolet","Rural","Friday","Feb","2","Male","Married","31","Policy Holder","Sedan - All Perils","Sedan","more than 69000","0","10781","14","400","1","more than 30","more than 30","1","7 years","31 to 35","No","No","External","3 to 5","no change","1 vehicle","1995","All Perils","55138.152689332"
"Jan","3","Wednesday","Pontiac","Urban","Monday","Jan","4","Male","Married","60","Policy Holder","Sedan - All Perils","Sedan","20000 to 29000","0","10782","15","400","3","more than 30","more than 30","1","7 years","51 to 65","No","No","External","3 to 5","no change","1 vehicle","1995","All Perils","2801.7805989465"
"Dec","1","Saturday","Toyota","Urban","Wednesday","Dec","3","Male","Married","61","Policy Holder","Sedan - Collision","Sedan","20000 to 29000","0","10784","1","400","3","more than 30","more than 30","1","more than 7","51 to 65","No","No","External","none","no change","3 to 4","1995","Collision","6560.4571734806"
"Nov","5","Sunday","Honda","Urban","Thursday","Dec","1","Male","Single","0","Third Party","Sedan - All Perils","Sedan","more than 69000","0","10785","7","400","2","more than 30","more than 30","1","new","16 to 17","No","Yes","External","none","no change","1 vehicle","1995","All Perils","83668.48348255"
"Jun","4","Tuesday","Ford","Urban","Wednesday","Feb","2","Male","Married","54","Third Party","Sedan - Collision","Sedan","40000 to 59000","0","10786","6","400","1","more than 30","more than 30","more than 4","more than 7","41 to 50","Yes","No","External","3 to 5","no change","1 vehicle","1995","Collision","53995.829012305"
"Apr","4","Monday","Mazda","Urban","Monday","Apr","4","Female","Married","40","Policy Holder","Sedan - Liability","Sport","20000 to 29000","0","10788","10","400","2","more than 30","more than 30","2 to 4","6 years","36 to 40","No","No","External","1 to 2","no change","1 vehicle","1995","Liability","9242.1146982744"
"Nov","4","Tuesday","Honda","Urban","Tuesday","Nov","4","Male","Single","42","Policy Holder","Sedan - Collision","Sedan","20000 to 29000","0","10791","1","400","3","more than 30","more than 30","none","7 years","36 to 40","No","No","External","more than 5","no change","1 vehicle","1995","Collision","4439.7962829622"
"Apr","4","Sunday","Mazda","Urban","Monday","Apr","4","Male","Married","30","Policy Holder","Sedan - Collision","Sedan","30000 to 39000","0","10792","6","400","3","more than 30","more than 30","none","6 years","31 to 35","No","No","External","none","no change","1 vehicle","1995","Collision","6450.3969018831"
"Jun","1","Sunday","Pontiac","Urban","Monday","Jun","2","Male","Married","34","Third Party","Sedan - Liability","Sport","20000 to 29000","0","10794","12","400","1","more than 30","more than 30","2 to 4","6 years","31 to 35","No","No","External","more than 5","no change","1 vehicle","1995","Liability","6179.4483571412"
"May","4","Thursday","Toyota","Rural","Monday","May","5","Male","Married","30","Policy Holder","Sedan - Collision","Sedan","30000 to 39000","0","10795","6","400","1","more than 30","more than 30","2 to 4","6 years","31 to 35","No","No","External","1 to 2","4 to 8 years","2 vehicles","1995","Collision","77972.442097474"
"Apr","4","Tuesday","Mazda","Urban","Thursday","Apr","5","Male","Single","26","Third Party","Sedan - Liability","Sport","30000 to 39000","0","10796","10","400","1","more than 30","more than 30","1","6 years","31 to 35","No","No","External","none","no change","1 vehicle","1995","Liability","66390.233690754"
"Aug","4","Friday","Honda","Urban","Friday","Sep","1","Male","Married","51","Third Party","Sedan - All Perils","Sedan","30000 to 39000","0","10797","5","400","4","more than 30","more than 30","2 to 4","more than 7","41 to 50","No","No","External","3 to 5","no change","1 vehicle","1995","All Perils","10280.624908993"
"Dec","1","Saturday","Pontiac","Urban","Monday","Dec","1","Male","Married","47","Policy Holder","Sedan - All Perils","Sedan","less than 20000","0","10798","6","400","2","more than 30","more than 30","none","more than 7","41 to 50","No","No","External","none","no change","1 vehicle","1995","All Perils","6279.1406623959"
"Nov","3","Sunday","Toyota","Urban","Friday","Dec","1","Male","Single","28","Policy Holder","Sedan - Liability","Sport","30000 to 39000","0","10799","1","400","2","more than 30","more than 30","2 to 4","5 years","31 to 35","No","No","External","none","no change","1 vehicle","1995","Liability","62888.307996146"
"Aug","2","Wednesday","Toyota","Urban","Wednesday","Aug","2","Male","Married","47","Policy Holder","Sedan - Collision","Sedan","20000 to 29000","0","10800","12","400","2","more than 30","more than 30","none","more than 7","41 to 50","No","No","External","1 to 2","no change","1 vehicle","1995","Collision","1462.8565215444"
"Jul","3","Thursday","VW","Urban","Thursday","Jul","3","Male","Single","32","Policy Holder","Sedan - Liability","Sport","more than 69000","0","10801","10","400","2","more than 30","more than 30","1","6 years","31 to 35","No","No","External","more than 5","no change","1 vehicle","1995","Liability","60168.626234685"
"Jul","3","Thursday","Chevrolet","Urban","Monday","Jul","4","Male","Single","34","Policy Holder","Sedan - Collision","Sedan","30000 to 39000","0","10802","12","400","3","more than 30","more than 30","none","6 years","31 to 35","No","No","External","none","no change","1 vehicle","1995","Collision","3330.3820253949"
"Oct","2","Sunday","Honda","Urban","Wednesday","Nov","2","Male","Single","34","Policy Holder","Sedan - Collision","Sedan","20000 to 29000","0","10803","14","400","3","more than 30","more than 30","1","7 years","31 to 35","No","No","External","more than 5","no change","1 vehicle","1995","Collision","4413.5807703126"
"Aug","2","Wednesday","Honda","Urban","Wednesday","Aug","3","Male","Single","35","Policy Holder","Sedan - Collision","Sedan","30000 to 39000","0","10804","4","400","2","more than 30","more than 30","none","6 years","31 to 35","No","No","External","none","no change","1 vehicle","1995","Collision","5147.1459916153"
"Aug","1","Tuesday","Mazda","Urban","Friday","Aug","3","Male","Married","37","Third Party","Sedan - Liability","Sport","20000 to 29000","0","10805","3","400","4","more than 30","more than 30","1","7 years","36 to 40","No","No","External","3 to 5","no change","1 vehicle","1995","Liability","3200.5277721611"
"Sep","4","Sunday","Honda","Rural","Wednesday","Oct","1","Male","Married","39","Policy Holder","Sedan - All Perils","Sedan","40000 to 59000","0","10806","9","400","2","more than 30","more than 30","1","7 years","36 to 40","No","No","External","1 to 2","no change","1 vehicle","1995","All Perils","69029.59139706"
"Apr","3","Wednesday","Mazda","Urban","Thursday","Apr","3","Male","Married","44","Policy Holder","Sedan - Liability","Sport","20000 to 29000","0","10807","12","400","3","more than 30","more than 30","2 to 4","more than 7","36 to 40","No","No","External","1 to 2","no change","1 vehicle","1995","Liability","8093.4542126354"
"Oct","1","Thursday","Pontiac","Urban","Friday","Nov","3","Female","Married","33","Third Party","Sedan - Collision","Sedan","20000 to 29000","0","10808","3","400","4","more than 30","more than 30","2 to 4","6 years","31 to 35","No","No","Internal","more than 5","no change","1 vehicle","1995","Collision","9037.2535915835"
"Jul","3","Tuesday","Chevrolet","Urban","Friday","Jul","4","Male","Single","33","Policy Holder","Sedan - All Perils","Sedan","20000 to 29000","0","10810","5","400","2","more than 30","more than 30","none","7 years","31 to 35","No","No","External","none","no change","1 vehicle","1995","All Perils","8885.4936060844"
"Nov","2","Wednesday","Chevrolet","Rural","Thursday","Nov","2","Male","Married","51","Policy Holder","Sedan - All Perils","Sedan","30000 to 39000","0","10812","11","400","2","more than 30","more than 30","2 to 4","more than 7","41 to 50","No","No","External","more than 5","no change","1 vehicle","1995","All Perils","54631.384526633"
"Nov","2","Tuesday","Chevrolet","Urban","Wednesday","Nov","2","Male","Married","0","Policy Holder","Sedan - All Perils","Sedan","30000 to 39000","0","10813","1","500","3","more than 30","more than 30","1","more than 7","41 to 50","No","No","External","3 to 5","2 to 3 years","1 vehicle","1995","All Perils","25619.708294157"
"Jun","1","Monday","Pontiac","Urban","Tuesday","Jun","3","Female","Married","41","Policy Holder","Sedan - All Perils","Sedan","20000 to 29000","0","10815","13","400","3","more than 30","more than 30","1","more than 7","36 to 40","No","No","External","none","no change","1 vehicle","1995","All Perils","9882.7530151342"
